,x,y,w,h,gray,label
1627,109.5,171.5,87,31,207.6,0
1628,139.5,467,83,24,124.07,0
1628,296.05,427.85,125.23,42.69,183.13,0
1628,46.64,347.64,114.53,56.92,60.76,0
1628,242,174,82,20,119.15,1
1628,82,93,164,30,178.06,0
1628,420,48,80,32,192.19,0
1628,42.5,30.5,75,33,129.73,0
1628,410,18.5,138,37,190.96,0
1629,251,193.5,98,23,47.16,1
1629,58.04,83.39,96.09,34.41,203.24,0
1629,135.18,55.95,100.1,33.23,131.68,0
1630,325,171.5,62,19,143.35,1
1630,99.5,92,67,28,51.86,0
1630,252.98,79.85,81.68,27.49,161.97,0
1630,434.5,75.5,89,41,125.36,0
1630,409.44,29.9,107.8,40.22,125.89,0
1631,440.54,405.95,79.3,24.68,127.37,0
1631,235.5,221,71,20,59.1,1
1632,382.5,469,61,20,58.81,0
1632,246,355.5,56,21,52.79,0
1632,245,211.5,80,25,30.15,1
1632,346,176,62,26,50.58,0
1633,14,334.5,63,28,44.86,0
1633,187.5,203,87,22,51.64,1
1633,437.66,87.1,86.24,32.06,201.79,0
1634,234.5,205,97,22,96.29,1
1635,307.5,177.5,77,23,97.62,1
1635,228,129,56,22,168.48,0
1636,242.5,222.5,77,25,105.32,1
1637,357.5,457,55,22,139.41,0
1637,160,432.5,58,27,190.17,0
1637,184.5,327.5,93,43,133.1,0
1637,60.43,250.28,124.49,37.39,118.02,0
1637,320.5,215.5,77,21,136.13,1
1637,377,71,122,32,115.25,0
1638,227.03,219.37,96.76,23.52,131.64,1
1638,391.94,164.79,123.36,53.34,168.74,0
1638,211,110.5,66,31,98.77,0
1639,306.5,141,81,20,149.91,1
1639,220,109.5,72,25,167.46,0
1640,281,166.5,58,19,174.31,1
1640,221.39,114.34,138.36,45.17,156.88,0
1641,287,195,98,38,115.4,1
1641,425,190,108,30,150.5,0
1642,252,235.5,80,23,138.62,1
1643,112.5,452.5,141,33,132.37,0
1643,99.5,400.5,99.99,44.02,140.05,0
1643,115.5,359.5,51,25,154.05,0
1643,252.5,219.5,65,25,67.83,1
1643,97,58.5,56,21,119.52,0
1644,315.5,227,79,24,76.66,1
1645,215,206.5,76,23,95.31,1
1646,222.5,431.5,75,37,67.11,0
1646,405.5,248.5,61,21,106.03,0
1646,307,238,78,22,79.07,1
1646,290,195,52,24,83.21,0
1647,351.5,209.5,79,23,121.91,1
1647,435.5,197,71,22,100.09,0
1647,434.5,162.5,59,27,87.01,0
1647,54.5,145,59,22,228.35,0
1648,107,384.5,56,27,194.74,0
1648,378.5,367.5,59,23,137.47,0
1648,71.5,277,53,24,122.93,0
1648,243.5,189,71,22,144.43,0
1648,187.5,141,81,24,71.99,1
1648,106,122,56,26,187.06,0
1648,128.5,83,51,20,56.83,0
1648,203.5,61,119,56,72.05,0
1648,244.5,18,93,36,85.4,0
1649,51.5,194,71,30,91.27,0
1649,258,153,120,36,98.53,1
1649,132.5,138.5,101,49,114,0
1649,24,85.5,48,23,99.83,0
1650,203.5,464,61,24,139.65,0
1650,82.5,462.5,73,33,193.46,0
1650,43.06,330.24,103.01,48.43,101.33,0
1650,305.5,232.5,79,19,130.72,1
1650,223,189.5,74,29,83.33,0
1650,276.5,157,89,20,122.64,0
1650,53,131,90,34,82.1,0
1650,150,122.5,70,25,48.91,0
1651,228.5,180.5,95,21,35.19,1
1651,139,146,54,20,123.28,0
1651,111.5,107,73,32,149.71,0
1651,161.5,15,115,30,201.97,0
1652,328.58,446.22,137.43,43.41,207.01,0
1652,441.45,401.7,108.44,37.96,43.94,0
1652,224.5,219.5,65,23,94.45,1
1653,195.5,382.5,85,21,67.27,0
1653,260,221,78,26,139.12,1
1654,414.14,455.48,119.06,43.3,122.09,0
1654,249,180,66,20,95.68,1
1654,215.5,93,65,20,248.16,0
1654,188.5,15.5,71,31,255,0
1655,259,186.87,88.5,23.82,112.14,1
1656,308.3,246.4,126.11,54.11,57.51,1
1656,293,97.5,70,33,136.06,0
1657,275,207.5,74,23,147.92,1
1657,291,138,144,32,132.39,0
1658,435,274.5,86,35,177.94,0
1658,346.5,218.5,65,23,176.96,1
1658,205.5,205.5,71,29,150.19,0
1658,241,133.5,102,35,116.01,0
1659,443.5,357,61,28,198.81,0
1659,443.5,322.5,71,35,200.49,0
1659,224.5,231.5,67,23,47.36,1
1660,34,427.5,60,17,61.85,0
1660,275.91,193.05,94.77,27.15,120.5,1
1660,36.5,97.5,73,33,237.39,0
1661,193,177.5,64,21,44.66,1
1662,434,441,72,28,26.56,0
1662,272.5,215.5,71,21,161.25,1
1662,345,143.5,64,25,40.82,0
1662,421.5,109.5,69,29,20.24,0
1662,417,48,84,34,8.44,0
1663,231,215,116,28,103.31,1
1663,113.5,206.5,75,27,92.71,0
1663,384,151,88,40,134.59,0
1664,256.5,206,73,20,85.92,1
1665,271.5,206,75,22,94.29,1
1665,246.5,133.5,97,31,192.6,0
1666,83.5,372,89.41,44.19,176.44,0
1666,175,224,70,34,59.74,0
1666,173,142,96,38,84.15,1
1667,377,465,88,28,103.82,0
1667,193.5,194.5,87,25,92.91,1
1667,185.5,24,113,46,70.74,0
1668,183.5,237.5,71,25,176.63,1
1668,291,55.5,70,19,148.86,0
1668,258.5,15,131,30,174.19,0
1669,251,187,84,22,69.93,1
1669,361.5,162.5,75,21,128.08,0
1669,161,159,60,24,100.72,0
1669,453.5,72,51,22,112.92,0
1669,220.5,19,93,38,43.32,0
1670,413.51,384.26,132.94,40.27,138.12,0
1670,431.5,258,67,30,196.58,0
1670,244.5,150,85,22,84.97,1
1670,381,12,58,24,198.1,0
1671,228.5,468,53,22,92.39,0
1671,230,229,76,26,158.94,1
1671,125.5,167,119,32,136.4,0
1672,264.5,450,65,18,139.7,0
1672,135.5,460,111,38,157.13,0
1672,34.5,442,69,32,199.74,0
1672,275,220,76,20,100.25,1
1672,421.5,93,71,28,87.91,0
1673,330,204,80,22,200.19,1
1673,433.67,172.74,100.09,45.24,169.08,0
1673,342.5,137.08,77.8,25.73,163.34,0
1674,311.3,455.6,132.22,47.51,30.02,0
1674,66.5,339.5,105,31,67.97,0
1674,396.52,235.99,142.27,41.29,203.5,0
1674,234.5,222,77,26,80.74,1
1675,398,375.5,50,21,181.64,0
1675,231,226.5,54,25,94.14,1
1675,33.5,185.5,67,29,64.69,0
1675,132.5,179.5,77,25,83.83,0
1675,342.5,180,115,32,190.8,0
1675,35,149,64,20,60.05,0
1676,138.45,462.43,116.9,33.48,96.48,0
1676,241.5,207.5,71,19,22.9,1
1676,75.5,119.5,139,31,175.05,0
1677,193.5,207,75,24,126.29,1
1677,417,201.5,133.25,50.25,161.71,0
1678,229,206.5,94,23,106.02,1
1678,310.6,39.07,119.58,41.32,156.72,0
1678,401.5,25,49,24,140.98,0
1679,286,166.5,78,21,156.63,1
1679,320,11,88,22,167.26,0
1680,320.5,262,97,20,16.76,1
1680,466,71.5,53,26,108.14,0
1681,44.06,331.37,98.95,40.2,81.82,0
1681,170.5,291.5,81,25,188.4,0
1681,270.5,227.5,125,35,147.63,1
1681,103,216,62,22,118.78,0
1681,176.5,195.5,57,25,212.49,0
1682,445.5,406,59,28,95.58,0
1682,55,328,96,30,180.08,0
1682,315.5,203.5,81,21,112.87,1
1682,134.5,159.5,51,25,104.17,0
1683,234.5,202,81,20,54.95,1
1684,244.5,465,53,26,101.39,0
1684,344.5,460.5,131,37,85.97,0
1684,204,213,80,22,33.72,1
1685,287,270.5,80,19,73.66,1
1685,28.5,143.5,57,25,135.58,0
1685,363,120.5,76,27,158.33,0
1687,439.5,437.5,49,23,130.39,0
1687,243,222.5,62,23,199.24,1
1687,230.5,84.5,73,27,226.31,0
1687,270.5,34,85,30,120.56,0
1687,44.5,12.5,63,25,79.15,0
1688,314,446,74,30,195.83,0
1688,367.5,411,91,36,187.28,0
1688,370,286.5,64,21,196.79,0
1688,246,230.5,84,27,86.61,1
1688,361.5,221.5,91,33,187.06,0
1689,257.5,158,83,22,37.17,1
1690,266.5,214,71,22,125.91,1
1690,146.5,12,59,24,187.21,0
1691,270.48,190.66,113.39,22.9,95.43,1
1691,156.5,162,81,20,134.05,0
1691,183.06,108.81,139.13,35.13,153.07,0
1692,93,394,64,22,90.87,0
1692,288.5,190.5,75,23,71.58,1
1693,312,154,94,26,174.01,1
1693,228,71.5,92,41,205.18,0
1693,75.5,29.5,65,31,208.61,0
1694,331.5,172.5,75,21,127.85,1
1694,433.5,128.5,75,33,101.37,0
1695,257.5,207.5,75,19,74.4,1
1695,105,211.5,80,33,153.45,0
1696,291,415,78,26,117.02,0
1696,224.5,225.5,69,25,170.13,1
1696,435.35,160.89,91.73,33.87,87.03,0
1697,259.5,222.5,75,21,71.75,1
1697,422,21.5,104,43,151.31,0
1698,313.5,191.5,81,33,160.17,1
1698,190.5,22.5,99,45,172.79,0
1699,283.5,161,87,24,80.26,1
1700,202.46,227.06,131.53,24.88,62.98,1
1700,336.5,18.5,55,27,48.63,0
1701,127.5,357,63,30,69.84,0
1701,253,207,76,20,56.35,1
1701,271,38.5,60,25,109.11,0
1701,408,14.5,86,25,88.2,0
1702,177.5,224.5,77,23,124.94,1
1702,252.5,173,101,50,70.67,0
1702,136.5,131.5,65,25,151.3,0
1703,229,465,64,28,123.41,0
1703,244.5,217.5,73,23,167.34,1
1704,190.5,216,89,22,49.91,1
1704,409.05,142.02,140.09,34.59,124.1,0
1705,108.5,323,75,28,156.94,0
1705,80,223,64,24,129.51,0
1705,351,194.5,60,19,158.84,0
1705,204.94,202.86,104.57,41.77,97.25,1
1705,409,101,140,52,138.82,0
1705,348.5,26,135,52,141.43,0
1706,278,225,68,20,122.02,1
1706,104,228.5,94,39,152.6,0
1706,334,131,100,42,68.29,0
1706,408,77,62,20,61.61,0
1706,308.5,56.5,55,19,51.09,0
1707,184.5,187.5,63,19,46.68,1
1707,37,16,74,28,67.01,0
1708,75.5,465.5,55,27,83.04,0
1708,327.5,350.5,63,23,89.07,0
1708,287.54,224.17,93.44,23.73,77.44,1
1709,387.5,312.5,51,21,153.47,0
1709,267.5,243.5,55,27,135.14,0
1709,146,165.5,62,21,122.8,1
1710,210.5,208.5,67,23,161.35,1
1710,187,134.5,84,37,92.27,0
1710,295,14.5,62,29,97.57,0
1711,107.5,231.5,57,27,142.25,0
1711,200,219.5,58,23,116.09,1
1711,378.5,195.5,115,31,167.54,0
1711,405.5,158.5,73,21,164.1,0
1711,401,112,74,26,159.98,0
1711,468,106,88,22,96.71,0
1712,453.5,467.5,51,23,143.79,0
1712,358,203.5,66,25,157.47,1
1712,277,157.5,100,37,162.16,0
1712,81.5,14.5,139,29,69.38,0
1713,267.5,274.5,65,21,63.53,0
1713,242,211.5,64,23,85.37,1
1714,258.5,240.5,69,19,64.1,1
1714,100.5,11.5,49,23,171.29,0
1715,303,179,68,20,160.54,1
1715,316.5,22.5,105,45,154.2,0
1717,424.5,463,61,30,125.66,0
1717,314.5,418,107,36,162.07,0
1717,240.5,222,63,26,62.18,1
1717,252.5,44,93,40,70.21,0
1718,322.55,227,73.43,21.82,123.66,1
1719,220.5,204,103,22,84.02,1
1719,326,118,58,24,120.06,0
1719,156.5,62.5,81,39,140.68,0
1720,41.99,438.75,87.07,30.54,231.5,0
1720,211,204,82,28,78.94,1
1720,326,184,68,32,121.41,0
1720,223.5,159.5,67,25,71.93,0
1720,121.5,139.5,73,27,126.93,0
1721,219.5,221,67,24,76.89,1
1721,304.5,54.5,59,21,80.51,0
1722,266.5,227,61,22,57.36,1
1723,156.5,161.5,69,23,155.73,1
1723,262,135.5,132,41,94.73,0
1723,204,94.5,60,29,89.68,0
1723,108,78.5,72,25,157.14,0
1723,228.5,48,57,26,33.91,0
1724,248,410,52,24,105.64,0
1724,212.5,234,67,28,151.36,1
1724,330,227.5,62,25,74.83,0
1724,134,178,56,26,95.57,0
1724,201,165,60,24,187.46,0
1725,262.5,228.5,61,23,75.67,1
1725,183,201.5,80,25,101.89,0
1726,238,209,82,26,81.79,1
1727,233,211.48,100.57,26.23,13.62,1
1727,331.5,181.5,79,23,70.03,0
1727,246,179.5,66,27,12.66,0
1728,150,387.5,66,19,207.17,0
1728,257,153,78,22,143.72,1
1728,330,113.5,64,29,90.44,0
1728,249.5,111.5,63,25,133.1,0
1729,228.5,465.5,81,27,137.5,0
1729,431.5,394,59,18,56.38,0
1729,203.51,201.41,76.41,24.45,96.31,0
1729,304,204.5,78,35,56.37,1
1729,447.5,83,59,26,65.94,0
1730,360.5,168,79,26,84.65,1
1731,430,447,50,22,122.56,0
1731,193.5,381.5,71,35,150.2,0
1731,263.5,208,71,24,26.46,0
1731,171,205,88,26,134.49,1
1731,114,12,58,24,61.31,0
1732,234.5,201,79,20,48.63,1
1732,441.5,171.5,51,25,169.58,0
1733,248.5,225.5,87,23,116.79,1
1733,339,193.5,56,23,84.28,0
1733,153,191,78,32,115.54,0
1733,416.5,194.5,91,45,40.29,0
1733,316.5,123.5,65,25,200.67,0
1733,178.5,102.5,69,23,70.66,0
1733,299,46,134,34,188.3,0
1734,247.5,252.5,75,21,98.97,1
1734,350,185.5,56,21,141.66,0
1735,320,189,80,24,179.81,1
1735,335.52,75.28,99.96,20.25,178.38,0
1735,333.76,44.55,160.7,42.61,182.69,0
1736,67.09,357.54,111.36,55.29,130.03,0
1736,184.5,224.5,75,33,146.81,1
1736,65,205.5,60,23,163.03,0
1736,134.32,161.15,137.74,50.94,136.93,0
1737,209,209,106,36,67.95,1
1737,75.46,182.57,103.44,27.33,94.47,0
1737,179.5,168,69,26,109.46,0
1737,96.5,155,61,18,123.85,0
1737,403.5,145,57,22,116.13,0
1738,226.5,220.5,75,23,71.02,1
1739,442.53,272.15,82.14,31.87,90.22,0
1739,242,214,96,28,65.17,1
1740,242.5,220.5,69,21,39.65,1
1740,128,189,64,20,103.96,0
1740,342,186.5,80,25,79.18,0
1740,11,110,48,22,128.27,0
1740,122.36,106.89,113.95,41.28,71.63,0
1740,175.97,35.04,94.56,46.11,61.57,0
1741,272.5,215.5,77,21,91.99,1
1741,411,115.5,102,37,112.28,0
1741,386.67,37.86,90.06,41.73,114.79,0
1741,152.5,11,109,22,89.95,0
1742,221.5,214.5,79,25,92.57,1
1742,104,124,74,28,100.51,0
1743,283,225,76,20,95.61,1
1743,64,117.5,54,21,108.72,0
1744,318.5,219,91,26,112.56,1
1744,302.5,167.5,93,25,83.23,0
1744,290.5,132,57,28,64.5,0
1744,39.5,128.5,79,33,217.14,0
1745,346.5,171,117,36,36.84,1
1745,176.5,22,61,26,25.75,0
1745,276.69,14.12,104.33,29.72,36.23,0
1745,68,10.5,74,21,93.77,0
1746,299.5,461.5,99,35,171.1,0
1746,111.5,384,91,26,166.23,0
1746,347.5,261.5,55,25,172.29,0
1746,399,203.5,80,35,169.24,0
1746,243.84,160.64,151.82,37.72,116.93,1
1746,110,77.5,88,33,70.78,0
1746,270.5,70,55,26,61.73,0
1746,371,62,70,24,163.21,0
1747,86,430.5,66,31,82.3,0
1747,211,183,66,20,119.84,1
1747,42.5,41,61,20,195.89,0
1748,220.5,227,77,22,51.04,1
1748,151,16.5,72,23,94.23,0
1749,114.5,240,63,24,109.78,0
1749,235.39,230.53,113.49,24.47,120.56,1
1749,32.5,195.5,65,27,102.67,0
1749,387.5,88.5,109,29,135.19,0
1750,257.5,230.5,107,25,102.78,1
1750,356,15,76,30,139.71,0
1751,178.5,457.5,73,31,21.53,0
1751,392.02,431.18,105.43,29.15,111.34,0
1751,283.5,232.5,79,19,68.19,1
1751,401.5,167.5,47,23,119.86,0
1751,52.5,144,105,44,200.71,0
1752,231.5,218,73,22,105.31,1
1752,63.5,171,127,46,103.78,0
1753,448,367.5,62,27,107.25,0
1753,224,244,122,36,142.03,1
1754,229,203,80,26,60.8,1
1754,150,161.5,56,25,122.4,0
1755,35.5,422.5,61,19,119.08,0
1755,186.5,418,69,32,72.6,0
1755,254,198.5,104,21,51.71,1
1755,131.5,163,71,26,68.47,0
1755,289.5,77,85,38,84.79,0
1755,424.5,37.5,65,27,71.25,0
1756,290,186,84,22,120.89,1
1757,265.5,207.5,91,23,121.83,1
1757,383,182.5,58,25,121.46,0
1757,112,72,62,22,65.53,0
1758,426,465,86,28,147.97,0
1758,327.22,352.12,121.82,47.1,162.67,0
1758,201,304,60,26,87.09,0
1758,240.5,157.5,73,21,172.58,1
1758,159.5,107.5,67,19,193.66,0
1758,37,31,74,36,167.46,0
1759,383.5,157.5,75,21,135.32,1
1760,383.5,157.5,75,21,135.32,1
1761,238.5,435.5,93,27,130.26,0
1761,223,210.5,72,21,174.46,1
1761,58,143,58,22,174.88,0
1761,100.5,112,69,20,123.98,0
1761,434,108.5,90,41,103.79,0
1762,230,462.5,56,19,128.3,0
1762,246,440,56,18,103.99,0
1762,436.99,283.46,95.87,34.48,125.68,0
1762,164,264.5,68,21,172.41,1
1762,56,259,76,30,93.48,0
1762,73.5,221,57,24,88.32,0
1762,287.5,91.5,69,29,97.68,0
1762,414.5,10,61,18,129.06,0
1762,117.5,11,63,22,113.45,0
1762,31.5,12.5,63,25,132.56,0
1763,218.5,437,61,24,79.88,0
1763,34.5,387.5,63,29,235.54,0
1763,224.5,215.5,77,29,8.43,1
1764,286.27,415.51,145.66,46.42,122.84,0
1764,204.5,211,69,20,196.37,1
1764,102,198,80,26,44.19,0
1764,204,138,92,40,192.03,0
1764,64,39,52,22,233.32,0
1765,330.29,449.5,123.54,47.68,180.36,0
1765,33,399,66,28,187.04,0
1765,203,382.5,66,27,121.55,0
1765,333.5,385,107,48,179.56,0
1765,198,344,66,18,102.52,0
1765,41.74,335.53,104.54,43.48,99.64,0
1765,183,227.5,58,25,72.84,0
1765,329.5,152.5,75,21,203.08,1
1765,344,131.5,60,17,214.56,0
1765,432.5,117.5,73,23,167.74,0
1765,259,78.5,60,19,112.93,0
1766,228.5,160.5,61,21,113.03,1
1766,441,63.5,76,23,142.87,0
1766,84.5,19.5,81,39,104.54,0
1767,442.5,442,73,24,47.98,0
1767,111.5,396,85,40,55.93,0
1767,453,211.5,52,21,48.01,0
1767,293,175,142,28,54.35,1
1767,440.5,155.5,63,21,48.15,0
1768,220,408.5,52,21,85.5,0
1768,209,209.5,74,33,91.68,1
1768,189,175.5,76,31,137.64,0
1768,98,169,70,28,72.24,0
1768,113.5,123,117,58,98.5,0
1769,293,178.5,72,21,146.14,1
1770,55,464.5,74,25,0.23,0
1770,70.5,434,73,24,43.22,0
1770,180,183,60,24,184.43,1
1770,51.16,81.06,105.17,50.7,86.13,0
1770,37,16.5,74,33,168.62,0
1771,211,225,60,20,59.83,1
1771,431.5,13,91,26,112.29,0
1771,25,10.5,50,21,48.94,0
1772,434,443.5,90,37,111.76,0
1772,232.5,403.5,61,23,100.2,0
1772,33,338,56,24,164.39,0
1772,226.5,187,69,26,153.15,1
1772,160.88,101.4,114.99,56.09,130.45,0
1772,296,47,86,32,98.07,0
1772,431,48.96,96.65,37.61,101.55,0
1772,307.99,14.22,87.58,28.38,102.27,0
1773,322.66,238.33,122.6,46.33,77.47,0
1773,176.5,225,77,22,63.49,1
1773,417.5,222.5,65,31,109.75,0
1773,284,173,54,22,39.35,0
1774,31.5,329.5,47,23,176.66,0
1774,210.5,211,79,20,60.24,1
1774,225.5,178,75,30,41.63,0
1774,308.5,167,57,26,74.3,0
1774,108.5,163,69,30,106.65,0
1774,98,136,58,18,98.53,0
1774,211,133.5,78,31,41.74,0
1774,379.5,71,73,34,107.03,0
1775,279.5,396,123,40,132.8,0
1775,202.5,374.5,69,29,73.96,0
1775,226,219.5,94,23,137.97,1
1776,283.5,220.5,83,21,48.23,1
1776,437.5,104.5,83,41,109.56,0
1776,64,17,128,34,157.29,0
1777,284,215,70,24,50.42,1
1777,354.5,17.5,73,35,252.27,0
1778,46.5,260,51,22,191.69,0
1778,225.5,168.5,79,21,52.19,1
1778,402.88,103.14,109.47,41.68,169.38,0
1779,183.5,227.5,89,27,126.69,1
1779,37,115.5,74,25,252.18,0
1780,269.5,193,103,36,130.92,1
1781,342.5,467.5,89,23,132.5,0
1781,197,434.5,54,19,83.19,0
1781,333,400.5,112,37,141.36,0
1781,287.6,192.73,89.92,21.69,166.74,1
1781,437.5,153,83,32,158.24,0
1782,222,245,78,18,137.12,1
1782,280.5,155.5,57,23,145.59,0
1782,451.5,12.5,53,25,208.22,0
1783,150,437,56,26,122.08,0
1783,435.5,428.5,86.95,31.45,155.35,0
1783,187.5,379,61,28,50.08,0
1783,255,180.5,72,23,111.49,1
1783,177.5,157.5,53,21,52.92,0
1783,270.83,66.24,112.83,35.72,128.56,0
1784,346.5,215.5,83,21,148.83,1
1784,200,129.5,56,25,96.84,0
1785,446,435,66,26,133.89,0
1785,432.59,244.83,109.43,36.45,143.09,0
1785,262,188,68,20,98.75,1
1786,216.5,230.5,65,23,71.76,1
1786,93.5,191,79,34,62.85,0
1786,181,174.5,60,25,85.4,0
1787,293,201,68,20,160.47,1
1787,347.5,140,87,28,168.09,0
1787,367.5,101,135,44,167.97,0
1787,36.5,51.5,73,33,215.89,0
1788,295,202.5,76,23,103.78,1
1788,230.44,69.89,133.53,33.58,103.17,0
1789,183.5,394.5,73,23,123.06,0
1789,133.5,346,69,34,89.1,0
1789,209,196.5,50,23,76.63,1
1790,177,437,66,30,145.66,0
1790,354.5,216.5,69,23,87.6,1
1790,78,216.5,80,35,181.49,0
1791,213,202.5,56,19,54.56,1
1791,186.5,166.5,101,39,80.28,0
1791,417.67,121.37,133.24,47.23,152.05,0
1792,446,419.5,66,27,59.77,0
1792,410.57,373.51,99.14,32.53,67.7,0
1792,348.5,318.5,81,39,64.62,0
1792,234,211,82,22,142.09,1
1793,261,217.5,98,23,104.95,1
1793,391,96.5,82,23,193.76,0
1794,434.25,229.43,101.42,31.14,113.37,0
1794,270.5,194,81,24,54.47,1
1794,342,147,136,32,142.15,0
1795,220.5,398,85,20,63.86,0
1795,348.46,361.51,95.77,40.02,73.66,0
1795,271.5,186.5,81,37,46.32,1
1796,190,392.5,50,21,81.69,0
1796,266,204,74,20,76.99,1
1797,254.5,209,111,26,44.19,1
1797,420,209,118,46,54.32,0
1797,95,134.5,120,47,157.25,0
1798,227,466,72,26,186.13,0
1798,51.5,460,61,26,104.29,0
1798,99,360,72,32,57.74,0
1798,286.5,229,91,24,98.29,1
1798,338.5,47,63,20,166.16,0
1798,274,14.5,76,29,91.36,0
1799,326.9,207.45,110.74,36.72,70.45,1
1799,151,162.5,54,25,204.08,0
1800,286,215,88,24,116.97,1
1800,300,181.91,78.38,17.91,120.87,0
1800,226,9.5,90,19,107.63,0
1801,148,180.5,92,35,130.57,1
1802,246.5,195,81,22,126.24,1
1802,286,125,62,20,157.49,0
1802,29.5,57.5,59,23,112.73,0
1802,320,11.5,70,23,157.82,0
1803,224.5,203.5,81,21,58.45,1
1803,238,109,72,28,134.6,0
1804,194.5,237,103,22,170.34,1
1804,143.5,106.5,77,25,153.77,0
1804,365.5,67.5,55,25,58.34,0
1805,204.5,203,71,20,77.72,1
1805,436.62,105.03,92.89,35.65,130.75,0
1806,224.5,242,93,24,26.03,1
1806,343.5,203.5,79,35,42.56,0
1806,130.5,198,101,26,35.09,0
1806,117.5,116,59,24,73.24,0
1807,382,393.5,50,23,35.35,0
1807,418,347,80,38,23.11,0
1807,250,255.5,72,23,108.11,1
1807,366.16,208.46,86.09,31.77,22.54,0
1807,213.5,182.5,87,27,108.7,0
1808,218,212,78,22,76.46,1
1808,306.5,186.5,67,21,119.58,0
1809,232,219.5,100,21,59.78,1
1810,245.5,205,77,20,42.78,1
1810,90.48,149.4,88.34,32.68,227.28,0
1811,271.5,201.5,83,23,122.52,1
1812,282,234,80,24,58.79,1
1812,54.07,174.01,113.12,39.51,235.89,0
1812,448,48.5,60,27,58.9,0
1813,416.5,421,89,24,19.75,0
1813,277,216,82,22,12.21,1
1813,242,162.5,90,33,14.7,0
1814,167.5,457,117,44,118.43,0
1814,176,167,140,30,126.19,1
1814,301.5,131.5,57,23,172.35,0
1814,58.5,65.5,117,39,193.98,0
1815,439.5,308,79,36,140.31,0
1815,231.5,210,115,24,85.69,1
1815,214,67,52,20,84.83,0
1815,193.5,22,121,44,111.84,0
1816,273.5,206,63,20,122.74,1
1817,240.5,216,73,18,60.71,1
1817,100.5,171.5,61,27,72.96,0
1817,36,100,64,30,159.01,0
1818,307,226.5,80,21,60.81,1
1819,209,216.5,74,21,106.56,1
1819,67,172.5,66,23,216.69,0
1819,256,105,108,46,113.66,0
1820,173.5,230,61,24,87.3,0
1820,230.5,173,97,22,118.5,1
1821,258.5,260.5,69,23,200.48,1
1821,112.25,199.26,120.54,47.8,67.53,0
1821,106,30,58,24,32.2,0
1822,296,232.5,84,23,101.76,1
1823,406,465,66,28,99,0
1823,243.5,437,61,30,101.23,0
1823,374,194,70,22,97.16,1
1823,181,197,96,44,98.71,0
1823,213,160.5,80,21,99.74,0
1824,239,205.5,72,19,61.63,1
1824,212.5,27,49,24,178.07,0
1825,104,346.5,74,21,103.61,0
1825,145,224,74,18,136.69,1
1825,220.5,196.5,71,23,117.53,0
1825,196.15,108.09,109.04,50.3,117.38,0
1826,84,418.5,80,27,136.58,0
1826,43.5,263.5,77,33,82.36,0
1826,109.5,248.5,49,21,173.65,0
1826,222.5,199,75,20,93.41,1
1826,295,133.5,50,21,140.95,0
1826,130,103,56,24,159.85,0
1826,392.94,102.81,125.1,47.95,147.48,0
1827,260.5,213.5,143,53,10.9,1
1828,333.5,459,59,28,180.98,0
1828,393.5,436.5,87,21,177.77,0
1828,46.5,367,83,34,141.48,0
1828,280,325.5,64,23,56.07,0
1828,301.5,218.5,79,21,96.66,1
1828,243.5,73,83,24,137.6,0
1828,122.58,63.79,124.52,26.03,64.19,0
1828,174,16,136,32,106.55,0
1829,72.5,441.5,51,23,119.54,0
1829,51.5,244,103,50,137.6,0
1829,261.5,197.5,115,41,45.44,1
1829,133,139,68,20,16.84,0
1829,428,78,102,44,50.03,0
1830,241.5,195,79,20,56.4,1
1830,143.5,185.5,55,23,148.49,0
1830,130.5,147.5,77,27,142.33,0
1830,39.92,162.45,97.93,38.08,93.76,0
1830,262,36,78,38,101.63,0
1831,342,309.5,56,19,109.27,0
1831,217.5,220,79,24,79.47,1
1832,285,211.5,76,21,106.31,1
1832,391,202,68,28,101.57,0
1833,53.5,460,75,18,175.77,0
1833,244,193.5,68,23,62.7,1
1833,137,194.5,74,29,130.08,0
1834,251.5,219.5,69,19,31.15,1
1834,11,116,92,22,167.03,0
1834,114.5,40,87,34,97.83,0
1834,293.5,16.5,87,33,41.99,0
1835,118.14,220.47,140.76,30.94,109.98,1
1835,337.25,90.93,102.15,30.46,135.42,0
1836,114,306.5,58,21,167.96,0
1836,355.5,165,81,26,117.59,1
1836,67.5,89.5,115,51,112.64,0
1837,25.5,293,51,24,69.96,0
1837,222.5,218.5,81,21,63.49,1
1837,87.5,144,69,32,187.25,0
1837,41.63,43.83,90.61,36.28,132.55,0
1838,238,227.5,76,23,44.21,1
1839,51.27,310.77,96.82,29.77,112.02,0
1839,228.5,238,65,24,95.29,1
1839,295,223.5,64,23,49.92,0
1839,193.12,97.47,108.17,50.93,149.6,0
1840,209.5,219,77,22,125.69,1
1840,221.69,127.63,99.56,48.55,97.64,0
1840,443.5,12.5,71,25,114.5,0
1841,289,237,88,24,53.99,1
1842,243.5,439,71,34,163.55,0
1842,287,413,60,22,147.44,0
1842,310.5,141.5,85,25,119.99,1
1842,404.5,121.5,77,23,109.37,0
1842,439.5,86,55,20,105.59,0
1843,267.5,189,85,24,90.45,1
1843,203.5,49.5,49,23,179.39,0
1843,416.5,14,59,28,147.07,0
1843,193.5,11.5,119,23,168.45,0
1844,200,214,78,22,112.15,1
1844,410.66,202.26,115.43,36.62,136.9,0
