image,x,y,width,height,B,G,R,label
2101,371.5,467,93,24,109.14,98.66,83.66,0
2101,209,206,90,40,132.11,111.46,78.67,1
2101,294,195,54,22,161.26,176.9,170.63,0
2101,159.5,169,53,22,136.22,145.9,107.71,0
2102,114,420.5,64,31,140.54,144.57,125.97,0
2102,225,194.5,90,23,95.2,106.1,84.04,1
2103,230.47,192.7,141.6,32.04,106.67,102.64,70.24,1
2103,426,89,78,22,173,159.83,113.37,0
2104,284,150.5,68,21,134.46,193.49,142.54,1
2104,437.5,142.5,67,31,92.38,175.33,120.34,0
2104,203,20.5,52,23,126.66,189.87,138.44,0
2105,285,169,80,38,152.15,150.54,146.24,1
2106,241.5,205,97,24,95.18,118.87,95.7,1
2106,182.5,88,77,30,45.96,52.26,39.49,0
2107,259,196.5,88,25,82.22,84.86,74.71,1
2107,298.5,33.5,93,31,158.6,165.42,145.75,0
2107,364,14,60,20,157.7,160.16,152.89,0
2108,313.5,138.5,77,21,211.17,188.17,192.17,1
2108,392,52.5,122,41,159.39,136.39,140.39,0
2108,50,9,66,18,169.57,162.3,165.41,0
2109,320.5,213,81,26,118.37,122.32,106.83,1
2110,271.5,200.5,71,23,138.29,127.51,112.74,1
2110,39.5,117.5,67,25,100.27,106.3,115.75,0
2111,127,469.5,66,19,12.1,12.69,5.24,0
2111,227,229,104,22,99.01,119.71,84.92,1
2111,241,185,82,32,96.9,129.06,82.33,0
2111,243,72.92,82.95,23.3,213.8,213.92,213.9,0
2112,408.5,415.5,61,17,151.73,176.81,151.73,0
2112,359.5,355,171,32,169.3,180.69,164.68,0
2112,322.5,327,85,22,158.41,182.71,157.82,0
2112,88,165.5,54,21,45.1,83,80.59,0
2112,271,150.5,80,21,169.69,187.21,184.28,1
2112,336.5,121.5,67,27,144.46,149.92,140.01,0
2113,295,216.5,70,21,114.67,117.9,108.58,1
2113,249,99.5,68,29,126.48,133.93,131.15,0
2114,313,173.5,86,27,26.76,27.38,38.54,0
2114,83.5,171,111,40,153.34,157.82,145.52,0
2114,91.5,87.5,71,21,79.65,97.11,55.7,1
2115,216.5,173.5,79,39,65.27,81.73,83.37,1
2115,322,152.5,88,29,67.83,73.69,73.94,0
2115,245.5,43.5,59,27,69.94,69.94,69.94,0
2115,47,11.5,68,23,90.66,98.86,86.02,0
2116,210.5,212,77,22,106.24,115.42,88.32,1
2116,100,211.5,62,21,108.66,108.74,106.42,0
2117,230.5,189,85,26,79.82,98.61,78.94,1
2117,50.5,117.5,73,27,44.58,114.8,89.89,0
2117,47.99,75.29,97.37,47.27,43.14,105.97,73.47,0
2118,295,183,72,24,95.73,98.84,98.35,1
2119,256,208.5,80,37,67.76,88.61,104.18,1
2119,403,175.5,110,41,141.07,125.28,111.99,0
2120,258.5,203.5,77,21,134.8,148.59,144.27,1
2121,261.5,175,71,20,130.59,133.11,116.02,1
2121,409,112.5,140,41,153.54,157.64,144.61,0
2121,259.44,100.91,97.64,29.17,157.97,158.9,148.99,0
2122,26,450.5,52,25,233.68,233.68,233.65,0
2122,141.5,436.5,91,19,143.38,146.43,149.17,0
2122,214,215.5,70,21,96.81,116.26,77.07,1
2122,36.35,140.69,73.44,32.58,96.66,133.13,97.77,0
2123,67.21,430.72,75.44,27.92,137.34,176.59,183.36,0
2123,177,295,94,30,82.59,102.43,84.89,0
2123,218,221,90,24,36.52,62.39,23.25,1
2124,236.9,227.47,98.93,25.72,96.81,90.58,62.34,1
2125,257.5,427,57,24,68.57,118.42,94.6,0
2125,150.35,202.68,151.3,33.76,138.04,164.36,135.85,1
2126,265.5,211,81,22,110.55,111.68,103.16,1
2127,192,412.5,54,21,123.47,115.95,125.89,0
2127,363.5,392.5,131,41,114.87,126.55,114.87,0
2127,306.54,188.59,127.13,36.76,118.02,118.39,117.29,1
2127,410,177,74,22,98.34,126.81,94.21,0
2127,195.5,134.5,103,37,154.42,158.18,154.22,0
2127,359.5,79,71,28,112.03,112.03,112.03,0
2128,268,461,118,36,71.86,75.24,69.71,0
2128,139.5,461,123,36,146.61,149.74,143.87,0
2128,284,221,66,22,149.36,149.6,146.94,1
2128,243.5,113.5,65,19,194.63,194.63,194.63,0
2128,452,106,54,22,144.58,173.45,134.19,0
2128,50.5,17.5,91,35,88.92,103.56,83.42,0
2129,443.5,228.5,51,23,121.59,126.48,110.51,0
2129,269.5,216.5,91,25,72.11,76.38,72.06,1
2129,46.5,136.5,61,23,47.1,80.29,74.84,0
2130,216,230,88,24,120.57,124.8,121.28,1
2131,207,467.5,54,23,175.73,181.91,182.51,0
2131,185.5,156,67,20,24.4,33.9,9.18,1
2132,247,453.5,100,37,112.31,181.07,130.32,0
2132,439.97,410.75,81.24,26.54,100.5,191.16,124.46,0
2132,286.5,408,93,30,103.81,170.94,119.14,0
2132,248.5,370,85,26,106.98,169.17,122.55,0
2132,280.5,293,77,20,79.9,154.16,92.24,0
2132,226,271.5,90,21,89.91,147.86,98.57,0
2132,164.5,198.5,61,25,60.45,129.12,79.12,1
2133,409.62,266.28,141.09,45.78,163.61,166.69,157.82,0
2133,182.5,212,99,44,146.56,155.42,121.95,1
2133,443.5,162.5,57,27,161.76,165.31,155,0
2133,64.49,137.59,117.48,30.71,122,150.98,142.16,0
2133,117.26,90.29,98.56,35.82,125.48,155.12,125.83,0
2133,342.5,63,59,26,145.85,150.23,140.21,0
2133,367.5,12,83,24,147.83,149.71,147.14,0
2134,214,230,86,24,155.97,149.55,108.2,1
2134,381.5,208.5,59,25,205.48,190.9,176.7,0
2134,292,133,52,20,67.63,60.7,60.6,0
2135,191,219,62,30,126.86,144.52,125.42,0
2135,223,148.5,90,23,17.61,33.15,13.31,1
2135,394,100,52,22,168,177.01,163.1,0
2136,117,384,60,20,131.83,140.56,115.2,0
2136,233.5,215,87,20,49.21,69.31,39.19,1
2137,266,468,110,22,130.39,117.67,102.2,0
2137,406.58,403.52,102.26,38.77,115.05,114.84,83.07,0
2137,174,311.5,112,35,139.46,126,107.19,0
2137,258,206.5,92,21,77.32,81.44,56.99,1
2137,396.23,149.33,143,43.23,169.28,158.96,135.9,0
2137,415.42,64.84,127.74,41.65,135.97,120.84,102.68,0
2137,115.5,8,73,16,89.76,91.38,91.16,0
2138,279.5,206,87,22,146.33,144.18,141.32,1
2138,424,199,60,24,89.6,91.95,85.1,0
2139,426.5,412.5,101,35,92.22,119.07,101.98,0
2139,319,133.5,94,21,129.3,130.5,129.11,1
2140,440.5,316.85,91.47,37.04,71.56,76.05,66.73,0
2140,258,230,84,22,78.15,94.04,64.53,1
2140,246.01,88.31,166.33,33.88,152.51,158.96,141.4,0
2141,303,197,94,40,125.07,125.19,115.37,1
2142,235,223,54,24,186.89,181.65,135.65,1
2142,169.5,217,65,26,183.35,167.33,154.66,0
2142,349.5,217,59,28,131.76,108.82,112.65,0
2143,323,189.5,82,23,128.04,130.97,122.47,1
2144,445.5,209.5,61,23,116.64,198.98,144.12,0
2144,345.5,158,93,24,82.24,169.16,123.89,1
2145,221,357,84,28,163.04,158.44,156.13,0
2145,468,256,54,22,170.83,178.83,155.83,0
2145,251.5,198.5,63,23,105.92,105.92,105.92,1
2145,155.5,79,57,22,44.57,44.57,44.56,0
2146,58,467,98,24,136.09,123.78,109.15,0
2146,224.5,457,105,44,171.73,171.53,171.56,0
2146,34.78,313.5,81.39,36.7,110.77,106.27,102.58,0
2146,182,167.5,62,21,66.04,76.34,44.71,1
2146,104.5,163.5,57,23,131.49,133.99,117.21,0
2146,256.5,119.5,113,39,158.5,166.84,163.34,0
2147,239,214,98,40,108.59,115.99,96.2,1
2148,411.5,318.5,51,23,139.72,139.72,139.72,0
2148,231,206.5,106,41,92.26,98.23,77.22,1
2149,330.5,164.5,93,35,191.53,201.32,199.72,1
2150,210.5,212,85,28,46.12,47.2,18.79,1
2150,424.77,156.88,110.11,46.18,35.83,72,10.93,0
2150,164,14,144,28,64.62,80.56,66.73,0
2151,256.5,211,103,28,109.06,119.06,92.87,1
2151,403,27.5,48,23,66.55,89.56,85.56,0
2152,241,321,56,24,154.87,154.87,154.87,0
2152,120.5,309.5,51,21,33.94,31.86,31.56,0
2152,293,256.5,54,21,143.01,158.3,143.01,0
2152,258.5,141,101,38,130.47,151.56,141.55,1
2152,437,104.95,98.89,33.65,147.41,158.91,145.5,0
2152,389.5,17,179,34,123.32,132.42,124.18,0
2153,312.5,207,91,24,104.81,104.42,81.07,1
2153,51,11,86,22,134.88,177.79,119,0
2154,348,145.5,98,21,175.23,194.86,182.28,1
2154,170.5,94,83,30,251.9,251.9,251.9,0
2154,160.5,59.5,113,33,251.76,251.76,251.76,0
2154,405,20,104,40,145.87,152.55,133.34,0
2155,198.5,209,81,22,109.74,109.94,83.61,1
2155,318.5,165,77,22,166.84,174.01,153.38,0
2155,372,117,56,26,158.87,159.11,158.43,0
2156,216,222,90,22,143.31,137.9,119.04,1
2156,295.5,180.5,51,23,120.04,128.14,123.09,0
2156,374,144.5,66,29,153.13,146.76,144.78,0
2156,426.5,22,95,44,150.93,150.93,150.93,0
2157,229,207.5,82,25,108.74,110.45,87.02,1
2158,242.5,263.5,77,21,36.81,47.86,11.22,1
2158,378.5,200.5,61,27,63.07,105.59,64.58,0
2158,214.5,151.5,65,29,115.32,125.79,122.65,0
2158,237.5,107.5,75,27,157.86,165.38,164.12,0
2158,50.5,96,53,20,235.43,229.01,221.85,0
2158,293,15,78,30,96.74,131.34,109.83,0
2159,245,230.5,76,23,99.17,88.12,36,1
2159,324.5,123.5,107,33,195.3,155.88,128.46,0
2160,255.5,211,81,20,63.64,59.29,34.66,1
2161,179.5,462,51,22,46,114,84.95,0
2161,253,201.5,70,23,93.82,112.53,96.59,1
2161,344,178,64,24,163.55,154.36,140.9,0
2162,364.82,436.05,112.3,49.62,69.45,120.71,79.58,0
2162,383,361.5,48,23,93.58,143.84,79.74,0
2162,302.98,304.52,109.54,39.21,111.06,139.95,122.67,0
2162,234,200,104,32,17.98,40.33,21.33,1
2163,328,201,68,20,187.13,201.34,197.78,1
2163,283.5,102,111,48,128.43,132.92,129.42,0
2164,193,453.5,56,25,218.41,184.73,168.41,0
2164,223.5,249,77,20,80.14,81.6,49.93,1
2165,257,207.5,84,23,111.83,99.03,92.32,1
2165,80,129.5,76,31,114.72,135.4,114.01,0
2165,268.5,43,55,22,121.75,104.96,86.22,0
2165,212.5,18,51,22,220.94,185.83,169.7,0
2166,240,201.5,82,25,61.11,62.2,32.38,1
2166,40.5,173,81,30,205.22,210.45,202.67,0
2167,220,462,72,34,50.75,62.79,60.73,0
2167,190,428.5,50,21,35.5,44.84,43.28,0
2167,420.5,412,69,34,100.77,122.94,100.77,0
2167,254.96,176.98,88.41,25.57,87.65,88.63,85.74,1
2167,258.5,137.5,85,27,139.12,142.75,133.72,0
2168,330,424,64,24,132.1,111.12,109.36,0
2168,254.5,388.5,61,27,131.7,121.95,110.01,0
2168,33,339.5,56,27,64.03,68.34,73.53,0
2168,281,170.5,54,21,105.87,94.95,75.27,1
2168,37.5,9.5,75,19,167.55,175.12,140.01,0
2169,219,456,60,28,35.59,79.2,40.94,0
2169,183,400,88,38,107.38,143.39,117.23,0
2169,214.33,214.81,92.46,33.19,70.58,83.78,48.12,1
2169,251,177,98,36,85.38,106.34,75.56,0
2170,237.5,447,81,38,169.89,169.89,169.89,0
2170,274.5,199,73,22,151.15,149.51,149.76,1
2170,360.5,190,79,30,145.79,144.72,144.88,0
2171,232,328,82,22,55.83,55.91,48.34,0
2171,257.5,285,59,22,94.07,109.28,79.98,0
2171,322.5,153,85,24,181.19,193.23,179.71,1
2171,445.54,103.47,68.45,23.35,153.46,157.32,139.76,0
2172,363.5,146.5,79,21,107.05,116.88,122.73,1
2173,69.28,360.83,139.99,39.59,144.72,134.63,145.68,0
2173,420.26,340.05,113.34,34.16,130.4,130.74,130.69,0
2173,432,265.5,94,33,129.13,127.67,127.91,0
2173,347.5,232,55,22,144.59,138.55,137.85,0
2173,234.5,216,75,26,121.4,122.66,86.87,1
2173,194,104,60,20,159.42,152.46,156.51,0
2174,143.5,226.5,83,23,130.41,138.32,141.74,1
2174,334.5,150.5,111,37,55.08,61.33,60.55,0
2175,56.7,273.17,126.01,41.59,148.99,166.1,164.57,0
2175,208,215,92,24,143.42,147.82,114.31,1
2175,113.5,11,59,22,82.52,101.34,98.21,0
2176,287.5,216,83,22,116.32,122.59,108.81,1
2176,398.5,171.5,53,21,116.04,123.94,100.95,0
2176,84.5,105,91,38,151.16,177.19,160.12,0
2177,34.78,401.97,77.57,35.72,37.13,64.92,56.41,0
2177,53,326,58,28,57.65,112.82,87.24,0
2177,232.5,225.5,63,23,95.88,102.16,59.54,1
2177,48.5,212,61,24,121.73,168.11,119.06,0
2177,370.5,178,91,28,183.71,203.21,199.87,0
2178,351.5,463.5,123,31,172.24,172.24,172.24,0
2178,66,368,64,26,148.32,175.71,167.48,0
2178,381.5,344.5,73,23,156.31,166.18,156.31,0
2178,136.5,220.5,77,33,135.26,164.38,150.47,0
2178,225.5,216,111,38,120.25,122.3,92.38,1
2179,260.98,219.91,82.41,23.82,115.19,123.77,101.28,1
2180,335.5,411.5,65,29,107.55,121.67,66.15,0
2180,302.5,362,77,36,125.38,121.09,82.13,0
2180,204.5,168,93,28,126.02,135.72,107.33,1
2180,411.89,68.78,114.94,49.13,164.87,131.12,54.95,0
2181,299,341,130,42,112.7,139.83,110.1,0
2181,221.5,302.5,67,31,73.31,101.1,90.85,0
2181,209.5,205.5,73,21,37.58,73.71,34.93,1
2181,218,178.5,122,27,36.12,79.4,31.79,0
2182,131.94,410.18,107.5,35.48,102.18,104.94,98.58,0
2182,389.5,248,71,26,112.72,129.84,127.01,0
2182,237.5,175.5,67,19,56.47,46.05,35.08,1
2182,147,113.5,64,23,184.7,192.85,190.35,0
2183,251,215,80,24,53.47,65.99,50.49,1
2183,137,208,64,24,122.62,131.92,112.07,0
2183,60,63.5,66,31,122.68,178.93,149,0
2183,43,15,86,30,149.47,190.27,157.95,0
2184,65.5,311,59,24,79.56,88.12,86.85,0
2184,264,227.5,74,25,102.78,112.58,100.54,1
2184,187.98,85.6,101.2,28.57,100.86,94.95,95.73,0
2185,218.5,193.5,71,21,74.62,85.05,49.23,1
2185,115,110.5,82,31,161.18,178.13,155.73,0
2186,225,228.5,70,21,70.13,65.83,47.6,1
2186,272.01,200.87,88.59,32.08,65.11,62.38,50.74,0
2186,188.5,184,71,32,89.53,88.83,74.32,0
2186,403,79,66,22,127.66,127.66,127.66,0
2187,50.32,453.31,103.08,45.58,185.98,169.4,162.07,0
2187,285.54,424.4,158.66,40.09,75.91,64.75,52.73,0
2187,178,368.5,64,29,33.74,32.63,32.8,0
2187,237,191.5,96,29,72.01,79.52,54.03,1
2188,342.5,205,75,20,149.46,171.8,167.92,1
2189,406,412,88,36,162.34,181.25,159.45,0
2189,342.06,377.39,111.93,30,167.02,186.83,162.64,0
2189,65,345,120,44,124.58,106.04,93.08,0
2189,432,191.5,58,19,167.23,174.93,152.77,0
2189,239.5,167.5,59,19,149.88,159.64,139.28,1
2189,62.5,167,61,22,39.39,39.14,37.69,0
2190,274.5,235.5,71,21,85.84,97.67,82.96,1
2190,392,196,66,26,145.14,156.57,123.23,0
2190,417.56,115.71,139.47,60.34,167.15,176.81,148.6,0
2190,254.5,61.5,107,45,177.31,175.07,169.96,0
2190,118,32.5,68,25,147.1,185.2,155.92,0
2190,421.88,23.25,101.3,42.83,159.53,171.26,137.74,0
2190,284.5,10,89,20,173.15,180.02,160.23,0
2190,90.5,9,79,18,170.16,201.04,176.79,0
2191,351.5,287.5,147,37,121.98,151.42,132.66,0
2191,330,188.5,84,27,123.19,137.99,119.98,1
2192,223,212,112,36,98.5,104.22,83.95,1
2192,213,190.5,60,27,79.39,107.91,52.15,0
2192,192.5,83.5,67,23,172.22,175.3,170.14,0
2192,100.5,72,57,28,173.92,187.09,155.64,0
2193,151.5,197.5,71,25,222.66,225.1,222.66,1
2194,273.5,243,77,20,85.2,99.44,68.25,1
2195,360,459.5,70,23,81.63,66.69,62.33,0
2195,50.5,436,85,36,81.23,79.74,78.62,0
2195,224,201,76,22,49.54,56.9,30.1,1
2195,48.47,135.59,93.58,28.81,64.51,78.3,57.53,0
2195,227,125,96,42,61.34,59.84,63.01,0
2195,28.5,28.5,57,25,160.13,193.96,158.99,0
2196,230,213.5,92,23,74.65,80.26,48.88,1
2197,155,227.5,72,25,105.75,112.62,109.95,1
2197,447.5,13,63,26,150.99,155.76,141.94,0
2198,229.5,187,79,22,116.11,110.05,94.54,1
2198,104.38,147.71,107.04,41.75,130.14,115.08,77,0
2198,264.5,13.5,83,27,94.66,77.8,61.6,0
2199,193.5,455,55,20,180.28,189,178.9,0
2199,440,229,66,26,122.03,147.21,90.01,0
2199,167.5,217,77,26,113.51,134.08,112.1,1
2199,298,166.5,98,33,95.88,96.33,78.05,0
2199,176,157,66,24,134.45,180.2,131.02,0
2199,81.5,138,115,44,105.6,180.69,146.48,0
2200,302,311,50,24,106.4,137.24,105.95,0
2200,257,220.5,74,21,73.82,93.68,78.3,1
2200,166.5,188.5,49,21,94.45,118.17,92.1,0
2200,265,187.5,48,21,83.54,96.92,90.57,0
2200,72.49,185.75,94.27,29.06,110,116.04,116.35,0
2201,66.06,344.87,141.49,35.04,181.78,178.33,179.59,0
2201,303.5,339,59,26,108.05,135.43,125.06,0
2201,384,268,90,22,125.5,141.09,129.04,0
2201,207,219.5,76,23,100.63,110.65,76.76,1
2202,221.5,209.5,69,21,90.11,91.34,51.54,1
2203,269,200,68,20,121.99,138.05,135.13,1
2204,271,221.5,68,23,72.44,101.02,95.36,1
2204,216,148.5,86,29,91.14,130.43,113.56,0
2205,303.5,420.5,111,43,126.16,138.51,118.25,0
2205,390,392,56,26,102.83,141.51,80.95,0
2205,62.5,331.5,61,25,135.37,138.71,114.07,0
2205,216.5,324.5,77,25,72.84,85.64,78.11,0
2205,113,307.5,56,23,165.92,164.33,149.68,0
2205,259.5,131,77,26,131.26,141.87,132.25,1
2205,388,99.5,80,25,116.66,130.02,92.68,0
2205,209,57,132,44,145.17,151.33,146.36,0
2205,384.23,33.22,138.63,43.42,101.36,129.78,74.84,0
2206,185.5,232.5,67,23,128.01,143.18,119.15,1
2206,182.12,22.91,108.31,44.14,220.7,223.3,231.96,0
2206,82,13.5,72,27,216.48,230.9,221.23,0
2207,253.5,218.5,77,27,65.59,86.1,60.65,1
2208,417,441,60,20,144.23,164.42,144.23,0
2208,233.5,225.5,103,49,125.22,124.24,107.11,1
2209,259,360,74,26,86.34,115.14,89.72,0
2209,123.5,295.5,63,25,170.08,168.38,161.11,0
2209,205.5,228.5,75,35,175.33,175.29,151.7,1
2210,222,225,96,24,121.23,124.61,101.6,1
2210,351.5,187,103,38,163.46,169.88,151.37,0
2211,174,194,122,28,145.98,148.04,127.17,1
2211,172.5,55.5,65,23,188.54,196.29,230.44,0
2211,419,41.5,62,23,186.24,185.1,183.49,0
2211,293.5,38,105,52,134.23,131.13,127.49,0
2211,174,26.5,76,35,242.39,241.81,245.76,0
2212,303.51,253.1,86.35,27.07,50.73,71.22,49.76,1
2212,186,223,94,24,169.3,188.37,166.51,0
2212,319,222.5,60,25,47.16,73.98,50.98,0
2212,237.5,145.5,113,53,158.16,171.62,147.41,0
2212,435,59,88,42,9.85,25.84,22.9,0
2212,173.5,41.5,99,43,140.22,145.74,126.93,0
2213,284,174,80,30,128.25,123.31,104.95,1
2214,204.5,226.5,77,21,191.61,210.95,184.46,1
2215,172,163.5,88,21,102.47,97.68,73.37,1
2216,48,312,96,30,88.74,80.06,79.43,0
2216,212.5,149,77,24,95.26,72.11,64.31,1
2217,294.11,446.12,126.11,29.9,85.31,104.8,110.95,0
2217,250,360,98,48,89.74,107.86,121.07,0
2217,385,237,66,20,49.65,94.09,66.89,0
2217,224.5,227,67,24,116.29,135.08,115.43,1
2218,226.5,172.5,81,23,84.68,97.56,85.93,1
2218,315,12.5,66,25,104.12,116.17,98,0
2219,245,223,80,20,38.91,68.81,45.24,1
2219,192,199.5,62,21,85.84,128.68,93.1,0
2219,327.5,187.5,115,35,75.86,104.23,109.1,0
2220,246,208.5,88,25,112.89,120.63,93.77,1
2220,343.5,135.5,109,41,56.86,73.62,70.77,0
2221,211,360,62,20,92.5,96.7,83.77,0
2221,435.14,172.52,81.87,35.54,119.33,127.33,104.33,0
2221,249,143,90,22,135.48,156.35,132.19,1
2222,73,462,106,34,111.03,123.22,121.75,0
2222,423,459.5,112,39,130.67,141.88,130.67,0
2222,246,222.5,82,23,131.93,107.17,66.27,1
2222,118.87,175.84,141.72,56.56,102.89,112.42,94.02,0
2222,438,8,80,16,147.26,153.5,135.49,0
2223,164,313,60,26,77.72,85.09,73.81,0
2223,250.5,207.5,97,23,47.9,62.19,43.3,1
2223,35.5,11,71,22,75.99,126.29,83.09,0
2224,245,221,80,22,72.37,66.23,33.54,1
2224,403.49,17.32,104.88,33.59,108.51,110.8,104.65,0
2225,257,204.5,98,23,28.04,63.59,31.2,1
2225,201,160,60,28,50.41,86.68,48.92,0
2225,65.5,126,81,38,153.13,200.33,167.75,0
2225,161.07,62.55,114.61,32.62,142.3,220.2,160.56,0
2226,257,378.5,88,41,100.21,88.1,68.6,0
2226,258.5,207.5,127,25,74.55,79.53,46.04,1
2226,143.5,198.5,85,25,198.43,188.8,156.96,0
2226,261,172,86,20,74.33,65.5,45.43,0
2226,158,105.5,98,47,133.78,137.59,103.45,0
2226,271.5,12.5,69,25,98,82.98,63.98,0
2227,257.5,468.5,51,21,86.52,91.06,90.32,0
2227,74.5,463.5,69,31,67.92,82.32,79.32,0
2227,373.43,356.92,121.48,26.69,128.35,128.13,111.65,0
2227,259.5,242.5,71,21,105.7,105.05,83.92,1
2228,48.5,216.5,97,19,190.62,192.94,176.06,0
2228,256.5,200,77,20,75.46,81.99,63.14,1
2228,445.4,94.83,72.82,28.81,143.62,152.48,151.03,0
2228,424.5,49,109,40,128.52,139.36,137.48,0
2229,70,453.5,56,25,49.72,57.58,34.96,0
2229,57,357.5,72,25,224.35,226.69,222.25,0
2229,283.55,201.31,117.38,23.52,88.55,88.44,79.95,1
2230,254,438.5,72,27,69.11,94.47,106.87,0
2230,273,368,56,20,93.46,132.28,147.78,0
2230,362,153,92,24,99.23,143.01,139.76,1
2230,405,48.5,112,41,103.86,144.42,141.68,0
2231,84.5,465.5,127,27,147.7,148.75,146.82,0
2231,450.5,304,55,24,154.45,156.73,168.66,0
2231,134.5,200.5,73,21,89.12,108.33,100.53,0
2231,286.89,198.12,88.93,27.48,83.58,86.26,96.59,1
2231,158.5,89,55,20,124.99,140.21,137.8,0
2231,335.09,49.58,121.99,26.57,110.79,113.2,111.82,0
2231,99.5,14,121,28,136.71,142.47,133,0
2232,62.52,462.83,95.12,26.18,198.55,192.75,193.73,0
2232,224,136,100,22,108.32,97,98.95,1
2232,357.5,124.5,79,21,139.43,139.43,139.43,0
2232,69.5,112.5,55,27,116.05,91.72,95.11,0
2232,119,85.5,86,35,75.66,89.98,59.55,0
2233,234.5,214,97,22,64.2,84.89,71.29,1
2233,94.37,121.84,110.27,55.03,133.4,160.89,150.87,0
2234,247.5,202.5,89,23,88.02,96.18,84.78,1
2235,302,287,108,42,110.93,135.32,108.81,0
2235,374,252,80,20,117.99,130.39,107.53,0
2235,238.5,212.5,75,19,79.29,105,72.41,1
2236,251.5,218.5,81,23,99.9,109.78,92.95,1
2237,233.5,234.5,109,25,73.16,91.41,85.67,1
2238,266.5,201.5,81,21,68.32,80.86,78.74,1
2238,87,139,86,28,173.3,180.81,162.23,0
2238,330.09,98.31,142.71,28.39,108.01,128.96,125.35,0
2239,300.5,184,93,42,145.45,151.74,152.17,1
2240,357.5,470,71,18,26.98,88.83,37.32,0
2240,151.5,464,123,30,19.19,31.3,21.77,0
2240,418.55,450.26,121.19,29.71,25.21,97.99,36.19,0
2240,423.5,335.5,111,43,20.04,80.65,21.42,0
2240,352.5,181,95,24,32.82,94.28,42.83,1
2241,213.5,191.5,77,29,194.59,204.9,170.64,1
2242,467,325.5,53,24,107.02,107.82,105.48,0
2242,225,191,94,38,80.19,81.62,58.93,1
2243,237.5,463.5,75,31,106.75,117.76,112.79,0
2243,233,220,100,30,105.2,125.86,103.17,1
2243,446.5,78.5,65,25,89.86,98.91,75.74,0
2243,86,37,118,40,124.67,139.66,118.43,0
2244,285.5,190,99,32,79.64,87.15,71.66,1
2244,87,160.5,62,21,115.56,117.93,100.55,0
2245,329,193.5,92,25,184.37,186.68,180.62,1
2245,256.05,144.2,100.77,22.12,124.32,119.19,108.2,0
2245,194.5,115.5,59,29,89.62,77.49,67.99,0
2245,51.5,119.5,103,43,35.46,57.83,38.28,0
2245,422.5,106,99,30,190.53,202.73,181.64,0
2245,60.5,75.5,83,41,43.52,88.71,45.86,0
2245,435.51,62.24,87.89,39.44,180.59,190.13,167.86,0
2245,29,38.5,58,27,39.66,96.38,37.55,0
2246,56.26,386.03,112.53,39.09,120.41,163.4,121.34,0
2246,215.5,219,99,36,131.34,142.36,105.63,1
2246,331,12,104,24,75.77,127.92,76.91,0
2247,269.5,234.5,85,23,99.37,112.24,80.72,1
2247,62,13,58,26,15.55,115.4,29.63,0
2248,129,261,70,34,222.33,216.49,210.22,0
2248,273,203,80,26,143.24,128.96,130.65,1
2248,376,165,50,22,94.83,94.83,94.83,0
2248,447,12.5,56,25,107.3,95.72,97.6,0
2249,235,228,114.94,41.94,61.19,85.25,53.03,1
2249,357.5,188,97,36,150.69,166.17,157.17,0
2249,45.5,111,47,22,19.43,53.51,28.97,0
2249,95,61.5,80,31,12.03,104.72,21.2,0
2250,222.5,222,73,28,80,85.55,48.55,1
2250,144.5,13,77,26,212.1,223.39,199.28,0
2251,222,209,88,26,82.87,85.6,62.46,1
2251,329,94,68,20,109.78,109.78,109.78,0
2252,228.5,238,87,40,144.35,137.16,103.54,1
2252,128.5,201,51,20,138.83,138.9,127.03,0
2252,350.5,198.5,77,35,234.36,211.51,204.6,0
2253,239,440,52,24,81.51,102.22,101.58,0
2253,250,152.5,76,25,84.2,103.42,103.94,1
2253,30.5,55,61,24,201.95,226.58,209.66,0
2253,220,14.5,88,29,120.54,142.91,139.04,0
2254,385,298,80,26,132.27,130.82,130.21,0
2254,252.5,232,77,22,150.33,129.95,93.22,1
2254,138.5,20.5,67,23,184.43,184.49,170.28,0
2255,268,209.5,88,39,6.92,10.74,9.15,1
2255,444,126,64,30,123.13,145.13,82.47,0
2256,159,166.5,82,23,49.97,45.83,16.9,1
2257,237,206,84,24,154.63,156.65,128.03,1
2257,160.5,193,61,20,117.13,127.65,101.66,0
2257,212.5,157.5,67,33,193.01,207.62,202.34,0
2257,353.5,133.5,65,29,178.56,181.78,181.26,0
2257,327.5,12.5,57,25,228.67,228.67,228.67,0
2257,141.5,11.5,51,23,137.43,185.08,157.83,0
2258,248,209.5,118,23,138.32,139.67,127.42,1
2258,337.5,170.5,65,25,167.08,159.25,146.79,0
2258,50.5,122,55,24,122.79,129.3,128.21,0
2258,321.12,115.2,113.57,36.11,164.27,159.39,153.93,0
2259,242.5,178.5,91,23,73.69,71.29,65.86,1
2259,334,159.5,66,27,149.93,151.38,129.52,0
2259,435,108.5,88,37,140.29,143.95,124.14,0
2260,259.5,223.5,81,25,80.67,95.1,91.63,1
2261,45,265.5,78,35,156.34,168.93,166.88,0
2261,274.5,243.5,89,23,155.03,153.45,118.68,1
2261,420.78,129.08,100.1,25.2,156.7,162.25,146.25,0
2262,54,409.5,56,23,152.29,174.82,168.03,0
2262,315.5,360.5,87,31,68.9,82.71,64.34,0
2262,270,210,80,22,48.8,58.46,53.81,1
2263,280.5,187.08,89.5,25.61,181.8,184.79,184.29,1
2263,326,105,56,20,187.02,187.02,187.02,0
