image,x,y,width,height,B,G,R,label
4096,435,137.5,54,25,171.32,190.68,173.56,0
4096,74,133,70,18,5.45,40.48,9.21,0
4097,201.5,235.5,103,27,86.62,81.74,60.99,1
4098,211.5,231.5,95,23,72.13,73.38,54.2,1
4098,106,25.5,58,25,189.12,183.55,172.23,0
4099,375,268,82,36,170.35,156.42,150.32,0
4099,225.5,222.5,105,27,174.94,177.76,156.2,1
4099,295,144,62,18,123.65,121.25,121.4,0
4099,35.5,125,71,28,77.42,106.07,100.09,0
4099,383.5,123,109,46,169.31,151.9,151.73,0
4100,243,183.5,98,25,139.77,141.14,137.68,1
4101,256.5,196,99,24,49.73,49.66,67.73,1
4101,219.5,56.5,113,37,206.21,206.21,206.21,0
4101,395.5,35,59,28,169.26,169.26,169.26,0
4102,273.5,235.5,105,21,130.88,134.48,107.45,1
4102,296.5,76.5,105,45,131.14,145.62,132.25,0
4102,363,46.5,64,27,172.54,174.9,168.09,0
4102,403,18.5,120,37,197.52,200.87,191.88,0
4103,293,207.5,100,25,106.04,108.22,101.95,1
4104,392.7,436.64,120.74,55.85,127.7,151.55,139.49,0
4104,338,137.5,96,23,144.87,171.08,171.21,1
4105,343.41,291.35,99.44,31.04,83.74,83.31,77.22,0
4105,182,213.5,94,23,168.38,159.55,142.93,1
4105,227.55,161.43,104.06,33.15,211.19,210.61,188.95,0
4106,212.5,253.5,89,25,134.19,128.32,107.43,1
4106,125,87.5,64,21,61.13,84.3,75.85,0
4107,214.5,232.5,93,25,138.05,149.97,120.87,1
4108,252,206,106,24,78.76,97.2,74.15,1
4108,86.5,166,77,28,114.1,123.41,96.22,0
4108,401,11.5,64,23,154.14,165.63,132.06,0
4109,97,429,88,34,171.15,164.28,170.37,0
4109,75.5,368,87,32,142.11,144.64,146.53,0
4109,392,320.5,48,23,43.87,63.47,69.26,0
4109,206,200.5,114,41,55.68,81.49,68.75,1
4110,376.5,423,81,24,21.95,49.16,46.81,0
4110,112,393,86,42,97.13,105.53,115.95,0
4110,372.5,220.5,47,23,25.69,46.14,49.43,0
4110,231.5,221.5,107,31,24.7,48.36,34.78,1
4110,118.5,218.5,57,25,87.3,104.08,113.94,0
4111,115.5,390.5,71,31,36.53,37.75,38.81,0
4111,179,333.5,62,23,30.39,35.53,37.05,0
4111,242,237,112,34,41.64,45.32,29.39,1
4111,138.24,145.52,102.1,50.76,26.88,41.38,29.78,0
4111,247,98,72,22,23.81,24,28.32,0
4112,170.5,222,101,50,83.77,71.52,63.5,1
4112,104,159,70,30,163.39,161.04,158.23,0
4113,246,435,82,34,125.92,131.09,116.13,0
4113,358.5,390.5,77,37,160.32,178.45,151.23,0
4113,267.5,337,75,30,91.17,95.8,89.64,0
4113,180.5,206.5,117,27,138.45,160.57,143.12,1
4113,338,190.5,54,25,163.3,164.97,160.12,0
4113,387,32.5,58,19,181.28,181.99,181.55,0
4114,207.5,225.5,99,21,58.5,61.27,27.32,1
4114,86.03,96.68,116.65,56.89,82.92,124.94,75.11,0
4114,440,52.5,64,25,60.82,95.77,4.34,0
4114,217.5,14,91,28,181.58,190.1,175.36,0
4115,286.98,233.37,100.25,24.9,60.06,67.56,56.54,1
4115,423,13,72,26,140.27,128.67,109.08,0
4115,252.5,16,91,32,154.06,158.6,145.41,0
4116,168,280,60,20,69.59,65.05,63.43,0
4116,178.24,137.02,88.17,30.81,106.06,109.57,89.9,1
4116,339,74,50,24,187.3,187.73,187.67,0
4117,53.5,438.5,89,21,128.71,140.89,126.3,0
4117,46.35,375.35,96.28,25.51,156.04,160.77,148.65,0
4117,158,334,114,30,167.48,161.46,158.03,0
4117,52.01,235.91,90.32,37.49,139.69,144.77,141.99,0
4117,255.5,183,81,32,102.87,102.57,96.43,1
4117,147.5,107.5,63,21,224,220.4,222,0
4118,176.55,225.41,112.59,39.01,133.64,183.01,133.49,1
4118,286,97,56,26,71.62,104.77,84.22,0
4118,144.52,36.29,96.82,28.29,89.86,125.56,117.12,0
4119,329,422,98,32,41.87,46.05,34.67,0
4119,224,223,82,28,123.28,127.7,96.51,1
4119,93.5,75.5,65,23,97.5,134.94,87.01,0
4119,111.5,34.5,99,31,151.95,161.28,143.08,0
4119,366.5,11,119,22,132.73,149.1,113.16,0
4120,227.17,194.54,86.14,25.18,86.35,90.61,67.99,1
4120,225.21,161.43,137.28,30.2,116.53,125.84,103.5,0
4121,157,468.5,70,21,148.48,153.88,151.46,0
4121,213.5,422.5,79,27,80.76,89.9,88.41,0
4121,298,231,62,26,71.13,74.16,66.53,1
4121,297.5,197.5,55,27,62.33,65.64,56.1,0
4121,427.95,184.26,75.85,26.3,104.71,141.39,91.79,0
4121,121,127,90.31,29,139.07,155.67,155.02,0
4121,36.4,105.58,73.74,23.58,165.56,178.71,157.15,0
4121,66,12.5,132,25,129.52,165.31,122.61,0
4122,275.5,156.5,115,33,89,103.4,85,1
4123,392.07,227.05,169.56,43.89,138.1,144.86,125.38,0
4123,280,174.5,74,27,89.19,106.32,98.09,1
4123,203.5,145.5,63,25,101.32,101.27,101.85,0
4124,408.8,328.25,89.69,40.36,55.96,58.18,55.52,0
4124,390.5,230,73,32,86.38,86.38,86.38,0
4124,236,221,104,38,87,100.42,71.39,1
4124,335.5,198.5,73,25,94.62,94.61,94.63,0
4124,178,165.5,64,29,163.93,187.61,166.34,0
4125,274.86,200.61,78.51,25.55,141.43,158.33,141.61,1
4125,148.5,165,91,22,151.35,179.75,157.06,0
4126,199,187.5,102,25,161.22,152.47,128.53,1
4126,36.26,153.32,78.98,36.13,41.15,46.1,40.83,0
4126,37,69,74,34,30.77,47.53,24.36,0
4127,67.5,463.5,67,31,218.2,197.53,97.56,0
4127,290,204.5,92,25,142.98,152.67,151.06,1
4127,397.73,18.99,165.37,33.66,181.02,192.98,176.69,0
4128,424.5,405.5,71,29,142.29,158.09,137.5,0
4128,370.5,146.5,99,23,164.76,163.57,162.44,1
4128,204,68.5,86,33,200.35,177.37,181.36,0
4128,399.5,19.5,53,21,159.35,159.35,159.35,0
4129,255,222.5,114,27,55.55,77.65,60.86,1
4130,249.5,180,99,26,52.1,56.79,43.29,1
4130,223,67.5,106,49,170.62,172.9,166.31,0
4131,240,242.5,156,41,56.55,68.14,64.88,1
4132,51,320.5,80,39,76.36,73.77,69.61,0
4132,58,245,54,20,53.44,63.29,51.07,0
4132,211.5,161,99,28,30.93,37.6,29.63,1
4132,419,132,78,28,153.86,160.85,140.74,0
4133,212.5,232.5,79,25,154.72,142.79,128.21,1
4133,244,128,54,22,212.33,201.75,211.41,0
4133,277.97,57.74,94.42,37.59,166.21,176.41,208.32,0
4133,251,11,112,22,144.98,165.62,190.54,0
4134,116,324,54,20,217.9,207.8,199.17,0
4134,268,197,102,24,94.74,96.42,75.32,1
4134,419.59,198.89,122.7,44.97,121.9,136.21,96.91,0
4134,264.5,164.5,61,25,61.22,64.62,42.11,0
4135,192.5,428,59,18,21.34,28.38,8.05,0
4135,240.15,210.83,163.36,40.46,56.23,45.41,20.29,1
4136,217.53,221.99,107.46,27.53,104.83,108.47,84.33,1
4137,428.61,286.15,107.98,44.46,64.5,49.5,30.5,0
4137,253.5,232,101,26,75.79,83.18,55.71,1
4137,387,217.5,84,23,59.17,45.27,26.78,0
4137,44.5,149.5,81,27,183.66,192.86,175.86,0
4137,225.09,105.09,108.63,36.2,110.04,110.14,104.04,0
4137,212.5,26,125,52,156.66,170.23,158.45,0
4138,177,255,98,28,168.03,161.64,147.49,1
4138,51,230.5,74,21,81.45,118.05,110.51,0
4139,342,470,88,18,155.88,165.39,163.78,0
4139,269.5,447,59,24,140.52,143.45,135.78,0
4139,429.5,422.5,63,21,146.15,157.96,117.5,0
4139,174,164,96,24,112.1,100.1,64.27,1
4139,385.01,104.49,90.84,28.36,158.3,165.28,142.6,0
4139,230.5,75,85,26,64.73,64.14,54.61,0
4140,98.02,258.05,83.33,33.36,156.2,140.41,105.58,0
4140,317.49,211.36,104.04,27.78,163.04,135.98,107.29,1
4140,41.69,130.16,89.94,31.69,129.61,117.09,88.08,0
4141,265,202,106,28,83.46,80.4,70.31,1
4141,281.5,145.5,155,31,106.23,109.38,105.53,0
4141,141.5,139,113,48,115.88,130.09,130.37,0
4141,247,74.5,72,21,148.95,157.82,139.08,0
4141,350,59.5,62,29,163.38,164.57,161.11,0
4141,337,10,80,20,159.27,162.37,153.42,0
4142,338.5,289,53,22,37.39,36.36,50.02,0
4142,293.98,193.79,108.12,27.94,56.5,68.12,70.89,1
4143,196,205,92,24,111.87,117.67,81.91,1
4144,33,463.5,66,31,104.47,78.77,70.65,0
4144,198,435,56,24,55.87,54.44,50.07,0
4144,299.5,194.5,99,23,79.17,88.08,72.93,1
4144,399,59,86,34,112.61,133.7,130.09,0
4145,245,199.6,100.54,28.69,130.48,153.2,148.79,1
4146,271.12,231.7,99.72,29.38,36.38,54.17,16.66,1
4146,447.5,128.5,61,29,44.42,53.37,27.46,0
4147,324,182.01,92.42,25.84,163.12,166.9,159.55,1
4147,51.22,82,103.92,30.84,102.87,127.17,107.46,0
4148,447.5,380.5,63,31,176.14,176.61,175.27,0
4148,274.5,186.5,133,39,77.25,60.85,50.27,1
4148,352.5,142,61,26,117.39,114.02,100.75,0
4149,249,440,50,24,105.84,128.76,124.79,0
4149,274.5,213,99,24,89.6,103.99,106.19,1
4149,383,185,78,28,134.2,156.95,154.45,0
4149,449.5,43.5,59,27,122.62,145.62,141.62,0
4149,343.49,42.77,119.63,51.47,129.46,152.37,149.72,0
4150,307.5,326,61,28,42.94,60.93,24.6,0
4150,426.47,200.21,93.48,35.64,61.12,46.12,27.12,0
4150,250.5,152.5,113,27,23.78,23.5,18.27,1
4150,405.5,41,61,24,66.93,51.93,32.93,0
4151,228,465.5,56,27,156.73,179.66,175.67,0
4151,73,447,72,24,126.26,139.18,112.2,0
4151,205,143.5,84,27,92.3,100.03,83.76,1
4151,317.5,134,61,18,130.16,137.88,115.65,0
4151,323,49.5,160,33,117.57,130.37,104.36,0
4152,259.5,470,61,18,43.76,56.49,54.38,0
4152,379.29,324.28,112.04,55.96,56.93,62.78,51.58,0
4152,292.5,214.5,93,27,69.5,69.32,63.1,1
4153,313,450,74,26,98.32,77.43,86.37,0
4153,43.5,432,55,22,231.99,178.98,166.77,0
4153,133.5,423.5,67,33,138.16,141.87,147.59,0
4153,307.5,388.5,51,21,126.03,90.41,99.98,0
4153,243.56,362.09,106.38,34.21,116.55,110.76,122.37,0
4153,235.64,216.38,99.42,38.83,85.36,102.45,89.48,1
4153,411,131.5,82,25,13.37,32.46,13.73,0
4153,369.5,101.5,75,21,25.73,27.68,25.73,0
4154,288,178,94,24,112.64,133.47,129.57,1
4155,238.5,412.5,61,21,4.04,26.43,5.25,0
4155,330,404.5,64,19,46.45,147.37,89.66,0
4155,324.5,159,101,48,35.59,119.07,64.33,1
4155,428.63,140.97,104.56,38.27,28.07,126.73,63.66,0
4155,197,12,58,24,6.92,52.59,12.16,0
4156,267.5,231,67,22,162.36,170.49,162.36,0
4156,430,224.5,68,25,158.72,166.72,143.72,0
4156,349.01,143.28,119.09,24.1,157.89,158.49,156.75,1
4157,187.89,211.97,146.98,30.56,137.67,142.18,126.02,1
4157,155.5,100,103,36,190.01,199.9,193.31,0
4157,301,96,80,36,142.59,148.12,144.57,0
4157,280.66,54.49,129.94,50.31,235.18,234.32,228.78,0
4157,388.2,39.25,94.06,36.8,202.65,200.69,188,0
4158,315,230.5,94,25,52.11,61.58,43.57,1
4158,84.5,83.5,61,19,94.74,150.43,105.86,0
4159,259.5,397.5,83,31,137.47,152.61,145.5,0
4159,174.42,212.47,89.93,22.44,109.86,106.54,65.73,1
4160,56.51,448.43,97.08,31.17,12.67,56.77,12.78,0
4160,220.03,206.48,94.24,22.74,77.6,79.46,45.6,1
4160,283,92.5,60,23,179.6,179.6,179.6,0
4160,53.06,76.39,108.95,38.51,84.54,179.65,123.29,0
4160,399.49,17.23,122.74,34.46,167.06,184.26,154.91,0
4161,194,193.1,94.72,25.43,160.93,127.4,74.15,1
4161,101,150,72,22,169.3,138.88,116.53,0
4161,294,103,124,56,125.69,130.6,121.07,0
4162,41,242,56,24,160,158.83,138.38,0
4162,250.5,187.5,83,25,82.09,85.23,76.15,1
4162,450.5,27,51,24,96.83,103.62,87.53,0
4163,112.78,437.64,156.83,54.15,43.5,112.02,64.36,0
4163,291,375,76,32,21.1,53.94,18.59,0
4163,417,280,94,46,116.51,190.6,115.38,0
4163,181,244,72,22,141.2,174.71,117.39,0
4163,250.5,209,101,38,40.03,100.38,37.02,1
4164,222,216,94,22,115.84,130.65,101.58,1
4164,76.5,156,57,26,45.29,77.31,72.03,0
4165,203,189,138,30,173.45,165.37,138.28,1
4165,72.76,182.79,89.96,28.41,149.47,177.91,161.85,0
4166,291.5,194,83,24,161.95,161.95,161.95,1
4166,200,117.5,50,23,187.58,187.58,187.58,0
4166,361.2,21.12,119.87,35.44,173.34,174.49,171.15,0
4167,433,214.5,56,23,78.54,105.96,88.95,0
4167,206,144.5,124,43,81.04,115.72,75.61,1
4167,304.5,127,49,24,70.11,101.11,74.11,0
4167,69.5,120,99,30,85.41,112.09,92.51,0
4167,370.5,89.5,69,27,81.15,109.05,92.78,0
4168,373,250,58,28,172.99,187.95,178.2,0
4168,219.5,195.5,75,23,67.74,85.51,50.39,1
4168,116.5,107,49,22,81.08,97.89,51.53,0
4168,444,11,70,22,182.97,183.8,183.66,0
4169,266.5,167,87,28,0.39,0.39,0.39,1
4169,202,106,64,24,0,0,0,0
4169,410,64.5,86,39,0,0,0,0
4169,230.5,19.5,79,39,0.08,0.08,0.08,0
4170,105,145.5,86,25,144.09,151.93,122.67,1
4170,96.5,94,69,22,119.5,150.34,111.41,0
4171,243.5,214.5,79,23,90.89,117.52,70.26,1
4171,143,160,66,20,186.75,199.53,184.95,0
4172,100,343.5,52,25,129.91,147.1,104.4,0
4172,288,213,88,28,52.5,68.04,34.27,1
4173,127,345.5,60,21,215.12,206.7,194.69,0
4173,446,315,66,26,55.67,49.47,67.44,0
4173,230.5,283.5,61,27,80.97,77.54,72.12,0
4173,238,228.5,76,25,107.12,132.19,94.82,1
4174,283.46,212.05,87.36,29.7,41.7,41.7,41.7,1
4174,449.5,159,59,22,89.66,95.39,74.26,0
4174,169.5,152.5,73,29,100.22,126.64,110.22,0
4174,33.5,100.5,67,29,85.37,94.97,93.36,0
4175,246.5,183,107,26,35.91,49.21,22.17,1
4176,282.51,175.82,93.95,22.57,126.1,136.3,130.58,1
4176,51.94,170.55,109.11,47.93,66.3,57.99,47.29,0
4176,46,39,64,24,69.41,90.8,85.32,0
4176,407.5,39,61,28,172.19,174.69,167.41,0
4176,33.5,11.5,67,23,40.33,85.57,42.01,0
4177,263,444.11,118.78,23.77,154.14,151.15,148.37,0
4177,287.5,197.5,81,27,31.9,29.54,29.92,1
4177,125,182,106,28,117.54,122.86,109.2,0
4177,82.05,133.88,115.83,44.21,163.39,177.77,160.61,0
4178,262.1,164.53,93.26,24.48,150.55,227.33,177.53,1
4179,338.5,283,67,30,104.12,104.12,104.12,0
4179,262.51,214.41,161.98,30.58,91.98,88.8,73.48,1
4180,217.01,204.85,87.09,23.27,71.3,75.1,48.94,1
4180,326.59,171.37,98.64,48.8,97.45,100.81,93.48,0
4180,310.5,111,113,46,97.68,100.83,93.04,0
4181,452,288.5,54,25,9.83,68.16,3.65,0
4181,214,225,80,24,156.72,166.02,128.92,1
4181,370.5,159,83,36,83.59,100.4,56.32,0
4181,239.5,140,67,24,189.25,191.2,185.52,0
4181,429.91,24.18,104.37,35.7,201.25,204.02,189.97,0
4181,217,24,106,48,149.32,184.31,177.99,0
4182,251,347.5,52,25,111.78,121.1,119.59,0
4182,169,165,84,26,92.17,85.82,57.11,1
4182,44,96.5,88,21,63.6,85.13,80.19,0
4182,194.5,86.5,53,19,187.05,182.65,170.88,0
4183,200,228,76,26,119,124.83,99.85,1
4183,440.09,116.53,80.59,28.73,162.75,165.87,156.85,0
4184,355.5,460.5,115,37,179.7,180.74,177.73,0
4184,374,194,72,32,185.34,186.09,183.93,0
4184,82.76,125.74,87.94,36.17,134.16,155.23,131.98,1
4184,299.5,82.5,137,35,178.89,179.66,179.54,0
4185,184.88,157.24,81.15,23.58,79.79,103,75.17,1
4186,321.55,201.62,88.11,22.41,120.44,122.31,116.94,1
4186,207.49,166.59,79.02,24.03,107.52,118.77,103.01,0
4187,308.5,172,73,28,44.68,42.74,42.15,1
4187,47,12.5,94,25,178.09,191.35,169.46,0
4188,163.5,417.5,103,31,178.63,184.76,165.18,0
4188,43.5,414.5,77,37,180.73,197.52,185.66,0
4188,225.5,212,85,26,58.1,72.35,35.01,1
4188,348.5,184.5,61,21,107.39,115.39,92.39,0
4188,270.5,50,79,38,96.48,102.17,90.6,0
4189,16,203,68,32,169.15,176.93,150.75,0
4189,193.5,189.5,109,53,131.75,126.05,84.66,1
4189,69,164.5,60,19,202.31,193.96,194.24,0
4189,185,126,94,46,90.26,88.31,60.26,0
4189,243,81,60,28,69.32,51.42,69.2,0
4190,254.04,206.12,104.71,25.39,107.08,116.21,87.61,1
4190,210,23,94,46,141.41,143.71,126,0
4190,98.5,15.5,81,31,158.33,160.14,158.06,0
4191,268.5,204,103,26,111.64,112.66,107.22,1
4191,271.5,157.5,53,23,134.42,138.83,133.92,0
4191,445.36,183.7,118.21,54.68,173.04,180.26,159.42,0
4191,293.5,103.5,67,25,159.05,159.84,159.27,0
4191,400.5,23,157,46,140.17,151.1,120.84,0
4192,292.5,190,111,24,108.94,109.21,108.46,1
4192,447.5,19.5,63,27,142.77,142.77,142.77,0
4193,199,237,86,24,133.89,125.58,92.3,1
4193,429.01,213.4,79.35,28.36,159.51,144.63,125.28,0
4193,345,52.5,70,33,180.31,165.31,146.31,0
4193,381.5,19,99,38,187.55,171.98,150.51,0
4194,99.5,469,83,20,102.8,100.49,99.04,0
4194,211,244,94,22,118.98,110.98,104.49,1
4194,212.5,214,67,26,120.6,132.77,105.74,0
4194,348,205,76,26,114.94,118.73,107.69,0
4194,93.5,178,51,22,96.72,95.73,98.33,0
4194,70.5,10.5,91,21,131.6,110.74,94.93,0
4195,358,417.5,80,27,147.01,147.01,147.01,0
4195,413.5,380.5,81,25,128.18,162.06,128.18,0
4195,287,176.5,108,25,106.42,112.69,98.54,1
4196,331,161.5,112,31,115.7,123.69,100.7,1
4197,232.5,215,95,24,57.18,56.81,10.68,1
4197,135.34,89.45,75.04,27.59,34.56,46.39,26.84,0
4197,184.5,38,89,34,24.2,30.49,13.52,0
4198,238,204,100,26,90.37,101.97,73.87,1
4198,339.5,151.92,102.23,33.17,72.48,82.65,77.12,0
4199,274.56,233.69,164.49,41.77,18.75,33.68,10.47,1
4199,437,173,84,40,10.26,81.04,4.7,0
4200,196.5,220.5,101,29,126.68,136.26,108.66,1
4200,207.5,111.5,79,23,135.27,151.85,144.04,0
4201,233.5,271,109,30,144.4,154.93,128.46,1
4201,405.5,208.5,61,25,120.39,117.34,96.32,0
4202,259.03,202.95,110.58,27.26,78.66,89.19,70.47,1
4202,129.5,185.5,53,23,201.79,205.89,193.53,0
4202,85,137.5,64,29,169.94,165.78,145.44,0
4203,386.42,232.68,100.58,46.88,203.34,204.5,194.74,0
4203,250,164,98,24,85.04,88.56,99.51,1
4203,147,14.5,66,29,147.7,159.46,152.46,0
4204,226.51,169.83,97.34,23.91,96,113.48,95.28,1
4204,110,108.5,60,29,66.29,120.8,84.14,0
4204,391,110.06,120.22,36.64,9.53,25.43,9.43,0
4205,228,304.5,52,23,203.39,156.32,134.93,0
4205,409,276.5,76,29,0.54,0.87,0.77,0
4205,263.5,239.5,103,25,168.34,153.78,127.03,1
4205,133.5,139,75,28,82.29,137.52,97.43,0
4205,215.56,43.11,119.66,51.55,156.42,159.88,144.11,0
4205,344.64,28.84,117.11,43.12,119.45,127.6,82.83,0
4206,107,450,66,24,98.79,101.94,99.01,0
4206,193.5,293,65,28,134.34,144.11,134.73,0
4206,183.51,167.63,84.88,29.8,97.32,103.4,71.92,1
4207,316.35,461.2,110.41,44.42,78.13,89.4,87.52,0
4207,360,347,64,26,56.08,82.68,51,0
4207,386.06,289.74,99.79,40.89,66.75,80.48,55.38,0
4207,218,207.5,106,29,100.08,99.53,75.01,1
4207,84,196.5,68,27,75.58,95.95,90.68,0
4208,27,451.5,54,21,164.66,166.09,165.87,0
4208,297.5,353,95,32,107.89,112.57,108.03,0
4208,29,269.5,58,23,112.06,161.53,151.74,0
4208,224,215,114,36,100.14,114.19,86.38,1
4209,248.5,195,109,28,116.13,106.77,88.05,1
4209,450.5,102.5,57,21,162,143.75,125.24,0
4209,337,55,52,24,197.87,180.79,162.09,0
4210,277.57,161.54,103.32,26.79,99.71,105.96,87.89,1
4210,408.5,156,53,24,116.63,128.95,126.91,0
4210,55.44,149.84,75.77,28.74,217.01,218.41,211.05,0
4210,279.5,122,53,22,107.87,115.28,93.96,0
4210,430,50,54,26,99.99,101.46,97.22,0
4211,203,201,122,48,161.88,156.89,137.39,1
4211,145.51,129.63,120.45,55.99,168.76,175.09,153.97,0
4211,168.5,9,61,18,240.75,236.08,241.67,0
4212,208.5,194,105,26,107.03,113.25,79.48,1
4212,51.5,20,103,40,64.41,101.61,66.59,0
4213,308,186,88,20,159.22,159.33,159.02,1
4213,83,92,118,48,137.84,147.16,146.68,0
4213,447.5,18,63,28,148.01,151.18,142.04,0
4214,349.5,184.5,115,25,63.84,63.01,60.36,1
4214,226,168,56,20,151.1,159.12,138.15,0
4214,395,20.5,102,41,130.89,133.37,132.98,0
4215,115,215.5,74,25,154.92,167.34,168.96,1
4215,235.5,123.5,61,29,50.12,34.16,11.84,0
4215,117.5,16.5,109,33,56.08,94.03,107.76,0
4216,275,467,52,24,107.3,131.92,148.44,0
4216,203.5,217.5,105,29,120.97,119.29,85.34,1
4216,339,153.5,60,27,101.88,111.08,110.99,0
4216,125.5,117.5,89,27,177.58,190.88,157.58,0
4216,206,96,76,32,99.09,86.38,68.82,0
4216,409,20,110,40,129.73,133.02,132.12,0
4217,255.5,218,99,24,65.9,69.23,49.19,1
4217,411.5,176,49,24,119.84,127.84,104.84,0
4217,55.66,123.2,113.71,43.1,184.23,197.51,185.88,0
4217,432.54,55.76,93.56,27.67,120.2,128.2,105.2,0
4218,283.5,179.5,97,25,104.08,111.32,99.58,1
4218,317.42,133.56,126.21,52.39,159.05,163.19,153.17,0
4218,238.84,70.26,158.76,42.69,101.59,125.13,110.62,0
4219,186.5,202.5,93,25,7.02,24.33,6.47,1
4219,146.03,47.87,87.67,34.16,13.01,20.03,22.67,0
4220,269.5,195.5,115,25,37.97,58.13,39,1
4220,222,97.5,50,23,172.29,176.65,175.9,0
4220,279.5,91.5,57,23,216.2,209.39,209.92,0
4221,216.5,390.5,61,25,173.72,180.89,160.24,0
4221,150.5,209,95,26,159.54,155.5,164.37,1
4222,41.5,461,77,36,131.02,190.14,118.02,0
4222,191.5,217.5,87,23,48.84,80.14,28.98,1
4222,218,30.5,74,25,16.81,90.01,41.61,0
4222,432,22,94,44,70.16,159.85,48.24,0
4222,326.5,12,111,24,30.7,79.77,23.7,0
4223,206.46,140.86,99.77,25.12,0.92,5.09,0.98,1
4224,240.5,196.5,107,29,115.71,94.38,57.44,1
4225,245.5,198.5,103,25,109.49,126.92,119.25,1
4226,168.5,206.5,61,29,20.79,43.71,11.5,0
4226,272,187.5,108,47,7.15,24.87,2.69,1
4226,273.54,130.49,118.51,42.5,16.62,42.05,10.26,0
4226,159.5,94.5,59,21,22.16,53.62,21.29,0
4226,171.5,9.5,95,19,58.94,100.07,67.86,0
4227,215,389.5,118,47,108.9,111.38,110.99,0
4227,260.5,320.5,109,45,104.06,109.31,104.06,0
4227,449,153,60,18,132.96,140.96,117.96,0
4227,278,141,100,24,156.46,160.17,149.43,1
4227,447.07,14.32,66.79,28.68,133.69,137.49,136.22,0
4228,57,379,76,28,41.71,65.25,59.24,0
4228,276,256.5,106,25,111.22,106.61,83.68,1
4228,205,18.5,96,37,142.2,142.76,139.85,0
4229,174,458.5,168,41,85.31,84.46,84.6,0
4229,301,209,98,28,81.26,71.38,57.35,1
4229,338.5,91,73,26,110.52,102.5,84.53,0
4229,384,46,80,32,142.72,129.59,114.2,0
4230,347,205.5,106,23,134.37,137.37,128.16,1
4230,182.67,100.25,115.68,49.05,146.41,157.56,152.78,0
4230,301.5,17.5,95,35,123.26,143.69,140.17,0
4230,103.5,13.5,69,27,139.82,150.1,148.38,0
4231,300,469,84,20,138.48,145.6,144.41,0
4231,202,216,84,30,130.37,128.39,87.95,1
4231,349.97,203.21,91.08,25.31,146.8,151.83,137.05,0
4231,427,175.5,60,25,161.41,168.93,146.01,0
4232,327.5,462,69,34,184.52,187.36,183.23,0
4232,215.5,200.5,89,25,64.94,64.07,32.28,1
4232,194,131.5,94,43,12.76,21.14,12.81,0
4233,292.48,220,107.95,26.6,0.08,0.08,0.08,1
4233,171,176.5,52,23,5.17,36.59,3.31,0
4233,436,165.5,78,23,0,0,0,0
4234,194.5,463,75,32,125.13,128,121.13,0
4234,42.5,441.5,85,23,57.98,54.92,47.49,0
4234,352.5,373,57,24,141.66,163.84,141.66,0
4234,195.5,349.5,93,23,144.14,137.11,130.64,0
4234,310,337,98,44,148.32,161.44,148.39,0
4234,76.5,306,101,30,147.45,146.04,138.63,0
4234,346.5,178.5,117,27,146.94,162.2,142.75,1
4234,439.5,136,79,38,155.26,163.25,147.31,0
4234,206,40.5,62,27,136.1,156.67,145.1,0
4235,265.5,210.5,99,23,113.45,93.37,73.02,1
4235,242,72,64,22,138.13,112.49,96.41,0
4235,144.5,73,63,28,224.19,198.4,167.93,0
4236,315,173.5,108,31,143.45,146.19,143.6,1
4237,287,165,94,24,88.37,89.65,68.03,1
4237,354.5,63,63,30,137.96,160.7,156.76,0
4238,293,214,80,20,130.29,130.26,127.64,1
4239,242.81,205.66,108.43,43.57,140.73,142.14,121.38,1
4239,112.5,198,73,30,115.93,124.42,100.94,0
4240,424.5,464.5,109,29,175.96,187.17,175.96,0
4240,273.5,217.5,107,45,109.41,122.3,93.63,1
4240,376,125.5,84,37,176.73,176.73,176.73,0
4240,421,83.5,58,21,186.15,187.21,187.05,0
4241,447,458.5,52,21,157.09,155.19,120.07,0
4241,225.5,199.5,87,21,121.58,113.32,77.57,1
4242,184.49,240.07,87.78,25.69,182.22,188.97,172.64,1
4242,295,161,62,18,52.34,52.34,52.35,0
4242,172.5,24,61,20,238.24,239.5,235.69,0
4243,430,214.5,56,19,158.8,152.38,119.14,0
4243,203.5,196.92,93.32,19.71,161.04,161.37,124.71,1
4244,250,205,86,30,191.6,189.09,171.24,1
4244,149,125,64,30,144.15,161.86,158.6,0
4245,265,268.5,82,23,94.01,123.72,97.65,0
4245,342,202,56,24,165.51,166.41,164.48,0
4245,211,196,86,24,84.54,92.47,56.79,1
4246,226,213,102,26,7.23,32.51,6.05,1
4246,383.5,11.5,61,23,21.09,73.73,41.68,0
4247,389.96,286.93,100.55,33.13,163.32,168.08,154.36,0
4247,263.06,160.55,114.31,26.71,183.36,187.79,175.88,1
4247,177.5,133,71,20,187.69,188.75,187.99,0
4248,215.5,231.5,93,25,161.79,159.59,133.88,1
4248,333.5,201,49,22,157.73,161.98,149.73,0
4249,248,212.5,86,25,123.77,81.3,17.34,1
4250,201,235,98,30,94.84,97.98,79.66,1
4250,402.5,24.5,109,49,41.09,53.5,157.55,0
4251,229,206.5,92,23,81.63,71.28,38.15,1
4251,374.5,171,85,36,177.21,180.33,171.35,0
4251,46.5,90.5,75,27,130.19,143.06,107.03,0
4251,221,80.5,110,21,85.24,88.77,71.54,0
4252,184.5,217.5,107,23,140.59,154.53,122.79,1
